,Unnamed: 0,39, State-gov, 77516, Bachelors, 13, Never-married, Adm-clerical, Not-in-family, White, Male, 2174, 0, 40, United-States, <=50K
1200,1200,30, Local-gov,235271, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
1201,1201,37, Private,166497, Bachelors,13, Divorced, Craft-repair, Not-in-family, White, Male,0,0,35, United-States, <=50K
1202,1202,44, Private,344060, Bachelors,13, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States, >50K
1203,1203,33, Private,221196, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,40, United-States, <=50K
1204,1204,61, Self-emp-inc,113544, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States, >50K
1205,1205,61, Local-gov,321117, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
1206,1206,38, Private,79619, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,0,0,42, United-States, >50K
1207,1207,22, ?,42004, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,30, United-States, <=50K
1208,1208,36, Private,135289, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0,0,45, United-States, <=50K
1209,1209,44, Self-emp-inc,320984, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,5178,0,60, United-States, >50K
1210,1210,37, Private,203070, Some-college,10, Separated, Adm-clerical, Own-child, White, Male,0,0,62, United-States, <=50K
1211,1211,31, Private,32406, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,0,0,20, United-States, <=50K
1212,1212,54, Private,99185, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,15024,0,45, United-States, >50K
1213,1213,20, Private,205839, Some-college,10, Never-married, Other-service, Own-child, White, Male,0,0,16, United-States, <=50K
1214,1214,63, ?,150389, Bachelors,13, Widowed, ?, Not-in-family, White, Female,0,0,40, United-States, >50K
1215,1215,48, Self-emp-not-inc,243631, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Amer-Indian-Eskimo, Male,7688,0,40, United-States, >50K
1216,1216,33, ?,163003, HS-grad,9, Divorced, ?, Not-in-family, Asian-Pac-Islander, Female,0,0,41, China, <=50K
1217,1217,31, Private,231263, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,4650,0,45, United-States, <=50K
1218,1218,38, Private,200818, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States, >50K
1219,1219,45, Self-emp-not-inc,247379, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
1220,1220,48, Private,349151, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
1221,1221,53, Private,22154, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
1222,1222,55, Private,176317, HS-grad,9, Widowed, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
1223,1223,38, Private,22245, Masters,14, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,72, ?, >50K
1224,1224,29, Private,236436, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
1225,1225,36, Private,354078, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,60, United-States, >50K
1226,1226,42, Self-emp-not-inc,166813, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,60, United-States, <=50K
1227,1227,50, Private,358740, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, England, <=50K
1228,1228,75, Self-emp-not-inc,208426, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,35, United-States, <=50K
1229,1229,46, Private,265266, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,1902,40, United-States, >50K
1230,1230,52, Federal-gov,31838, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,0,0,40, United-States, <=50K
1231,1231,27, Private,175034, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Female,0,0,40, United-States, <=50K
1232,1232,43, Private,413297, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
1233,1233,31, Private,106347, 11th,7, Separated, Other-service, Not-in-family, Black, Female,0,0,42, United-States, <=50K
1234,1234,23, Private,174754, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,30, United-States, <=50K
1235,1235,34, Private,441454, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,0,0,24, United-States, <=50K
1236,1236,41, Self-emp-not-inc,209344, HS-grad,9, Married-civ-spouse, Sales, Other-relative, White, Female,0,0,40, Cuba, <=50K
1237,1237,31, Private,185732, HS-grad,9, Never-married, Other-service, Own-child, White, Female,0,0,30, United-States, <=50K
1238,1238,42, Private,65372, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States, <=50K
